"","sm_code","publication_year","type","count","n_cits"
"1",1,1895,"journal-article",41,2
"2",1,1896,"journal-article",9,0
"3",1,1897,"journal-article",1,0
"4",1,1905,"journal-article",1,0
"5",1,1906,"journal-article",1,0
"6",1,1907,"journal-article",1,0
"7",1,1908,"journal-article",3,0
"8",1,1909,"journal-article",1,0
"9",1,1911,"journal-article",2,134
"10",1,1913,"journal-article",2,0
"11",1,1914,"journal-article",4,7
"12",1,1915,"journal-article",2,0
"13",1,1916,"journal-article",2,0
"14",1,1917,"journal-article",2,4
"15",1,1920,"journal-article",13,12
"16",1,1921,"journal-article",4,0
"17",1,1922,"journal-article",10,4
"18",1,1923,"journal-article",6,1
"19",1,1924,"journal-article",24,0
"20",1,1925,"journal-article",15,1
"21",1,1926,"journal-article",16,0
"22",1,1927,"journal-article",3,9
"23",1,1928,"journal-article",34,5
"24",1,1929,"journal-article",33,4
"25",1,1930,"journal-article",31,49
"26",1,1931,"journal-article",20,4
"27",1,1932,"journal-article",21,32
"28",1,1933,"journal-article",29,27
"29",1,1934,"journal-article",27,26
"30",1,1935,"journal-article",32,65
"31",1,1936,"journal-article",30,109
"32",1,1937,"journal-article",43,84
"33",1,1938,"journal-article",27,83
"34",1,1939,"journal-article",31,58
"35",1,1940,"journal-article",99,893
"36",1,1941,"journal-article",31,157
"37",1,1942,"journal-article",13,33
"38",1,1943,"journal-article",36,39
"39",1,1944,"journal-article",24,165
"40",1,1945,"journal-article",25,43
"41",1,1946,"journal-article",31,15
"42",1,1947,"journal-article",141,173
"43",1,1948,"journal-article",204,114
"44",1,1949,"book-chapter",1,0
"45",1,1949,"journal-article",171,165
"46",1,1950,"journal-article",346,246
"47",1,1951,"book-chapter",1,0
"48",1,1951,"journal-article",165,77
"49",1,1952,"book-chapter",2,0
"50",1,1952,"journal-article",150,62
"51",1,1953,"journal-article",183,111
"52",1,1954,"journal-article",189,73
"53",1,1955,"book-chapter",1,0
"54",1,1955,"journal-article",182,79
"55",1,1956,"journal-article",204,303
"56",1,1957,"journal-article",214,239
"57",1,1958,"journal-article",208,197
"58",1,1959,"book-chapter",3,0
"59",1,1959,"journal-article",190,295
"60",1,1960,"book-chapter",1,0
"61",1,1960,"journal-article",609,610
"62",1,1961,"book-chapter",2,0
"63",1,1961,"journal-article",195,832
"64",1,1962,"book-chapter",1,0
"65",1,1962,"journal-article",239,460
"66",1,1963,"journal-article",193,396
"67",1,1964,"book-chapter",1,0
"68",1,1964,"journal-article",260,474
"69",1,1965,"book",1,0
"70",1,1965,"book-chapter",2,0
"71",1,1965,"journal-article",214,374
"72",1,1966,"journal-article",260,703
"73",1,1967,"book-chapter",2,1
"74",1,1967,"journal-article",250,492
"75",1,1968,"journal-article",223,676
"76",1,1969,"journal-article",269,492
"77",1,1970,"book-chapter",3,0
"78",1,1970,"journal-article",975,2214
"79",1,1971,"journal-article",353,1468
"80",1,1972,"book-chapter",2,0
"81",1,1972,"journal-article",349,677
"82",1,1973,"journal-article",393,922
"83",1,1974,"book-chapter",4,0
"84",1,1974,"journal-article",304,517
"85",1,1975,"book-chapter",1,0
"86",1,1975,"journal-article",287,695
"87",1,1976,"book-chapter",1,0
"88",1,1976,"journal-article",391,1155
"89",1,1977,"book-chapter",1,0
"90",1,1977,"journal-article",419,1419
"91",1,1977,"posted-content",10,0
"92",1,1978,"journal-article",483,1460
"93",1,1978,"posted-content",1,0
"94",1,1979,"journal-article",546,1168
"95",1,1979,"posted-content",2,0
"96",1,1980,"book-chapter",6,2
"97",1,1980,"journal-article",1678,4224
"98",1,1980,"posted-content",4,0
"99",1,1981,"book-chapter",2,3
"100",1,1981,"journal-article",711,4747
"101",1,1981,"posted-content",1,0
"102",1,1982,"book-chapter",2,0
"103",1,1982,"journal-article",803,3320
"104",1,1982,"posted-content",3,1
"105",1,1983,"journal-article",879,4510
"106",1,1983,"posted-content",2,0
"107",1,1984,"book-chapter",2,0
"108",1,1984,"journal-article",1110,5753
"109",1,1984,"posted-content",1,0
"110",1,1985,"book-chapter",3,0
"111",1,1985,"journal-article",1021,5406
"112",1,1985,"posted-content",1,0
"113",1,1986,"book-chapter",6,0
"114",1,1986,"journal-article",976,5441
"115",1,1986,"posted-content",1,0
"116",1,1987,"journal-article",928,5051
"117",1,1987,"posted-content",2,0
"118",1,1988,"journal-article",1035,5159
"119",1,1988,"posted-content",3,0
"120",1,1989,"book-chapter",2,0
"121",1,1989,"journal-article",1058,5471
"122",1,1989,"posted-content",1,0
"123",1,1990,"book-chapter",3,3
"124",1,1990,"journal-article",2444,10703
"125",1,1990,"posted-content",2,3
"126",1,1991,"journal-article",1362,7950
"127",1,1991,"posted-content",4,0
"128",1,1992,"book-chapter",1,0
"129",1,1992,"journal-article",1265,7501
"130",1,1993,"journal-article",1257,6700
"131",1,1993,"posted-content",2,0
"132",1,1994,"journal-article",1755,10730
"133",1,1995,"book-chapter",2,0
"134",1,1995,"journal-article",1698,9637
"135",1,1996,"book-chapter",1,1
"136",1,1996,"journal-article",1810,9793
"137",1,1997,"book-chapter",4,0
"138",1,1997,"journal-article",1915,10567
"139",1,1997,"posted-content",1,0
"140",1,1998,"book-chapter",2,0
"141",1,1998,"journal-article",2232,12596
"142",1,1999,"book",1,0
"143",1,1999,"book-chapter",4,0
"144",1,1999,"journal-article",2161,10634
"145",1,2000,"book",1,0
"146",1,2000,"book-chapter",2,0
"147",1,2000,"journal-article",3978,15117
"148",1,2001,"book-chapter",6,0
"149",1,2001,"journal-article",2657,9838
"150",1,2002,"book-chapter",3,0
"151",1,2002,"journal-article",3185,15235
"152",1,2003,"book-chapter",4,11
"153",1,2003,"journal-article",3217,13233
"154",1,2004,"book-chapter",2,0
"155",1,2004,"journal-article",3259,10155
"156",1,2005,"book-chapter",4,2
"157",1,2005,"journal-article",3833,14917
"158",1,2005,"posted-content",4,0
"159",1,2006,"book-chapter",7,0
"160",1,2006,"journal-article",3909,13403
"161",1,2006,"posted-content",6,0
"162",1,2007,"book-chapter",4,0
"163",1,2007,"journal-article",5549,16137
"164",1,2007,"posted-content",6,0
"165",1,2008,"book",1,0
"166",1,2008,"book-chapter",1,0
"167",1,2008,"journal-article",5178,15476
"168",1,2008,"posted-content",5,23
"169",1,2009,"book",1,0
"170",1,2009,"book-chapter",3,0
"171",1,2009,"journal-article",6576,19146
"172",1,2009,"posted-content",2,1
"173",1,2010,"journal",1,0
"174",1,2010,"journal-article",7068,19386
"175",1,2011,"book-chapter",2,0
"176",1,2011,"journal-article",5658,14522
"177",1,2011,"posted-content",2,44
"178",1,2012,"book-chapter",1,0
"179",1,2012,"journal-article",5972,16272
"180",1,2012,"posted-content",25,212
"181",1,2013,"book-chapter",3,0
"182",1,2013,"journal-article",5999,11111
"183",1,2013,"posted-content",24,58
"184",1,2014,"book-chapter",2,0
"185",1,2014,"journal-article",5672,8614
"186",1,2014,"posted-content",38,69
"187",1,2015,"book-chapter",1,0
"188",1,2015,"journal-article",4284,7294
"189",1,2015,"posted-content",6,7
"190",1,2016,"journal-article",3740,5131
"191",1,2016,"other",1,0
"192",1,2016,"posted-content",3,5
"193",1,2017,"journal-article",3398,3830
"194",1,2017,NA,2,0
"195",1,2018,"book-chapter",1,0
"196",1,2018,"journal-article",2556,2574
"197",1,2018,NA,1,0
"198",1,2019,"journal-article",2261,1585
"199",1,2019,"posted-content",1,1
"200",1,2020,"book-chapter",5,0
"201",1,2020,"journal",2,0
"202",1,2020,"journal-article",1869,629
"203",1,2020,"posted-content",1,2
"204",1,2021,"book-chapter",2,0
"205",1,2021,"journal",10,0
"206",1,2021,"journal-article",2952,220
"207",1,2021,"journal-issue",3,0
"208",1,2021,"posted-content",2,2
"209",1,2021,NA,90,13
"210",1,2022,"book-chapter",2,1
"211",1,2022,"journal",1,0
"212",1,2022,"journal-article",452,106
"213",1,NA,"journal-article",6,0
"214",2,1901,"journal-article",2,0
"215",2,1902,"journal-article",1,1
"216",2,1903,"journal-article",1,1
"217",2,1906,"journal-article",1,5
"218",2,1910,"journal-article",4,0
"219",2,1911,"journal-article",4,1
"220",2,1914,"journal-article",1,0
"221",2,1915,"journal-article",2,0
"222",2,1917,"journal-article",5,3
"223",2,1918,"journal-article",1,0
"224",2,1920,"journal-article",3,4
"225",2,1921,"journal-article",2,0
"226",2,1922,"journal-article",8,2
"227",2,1923,"journal-article",6,4
"228",2,1924,"journal-article",4,3
"229",2,1925,"journal-article",10,5
"230",2,1926,"journal-article",1,0
"231",2,1927,"journal-article",47,13
"232",2,1928,"journal-article",7,10
"233",2,1929,"journal-article",55,77
"234",2,1930,"journal-article",62,34
"235",2,1931,"journal-article",100,38
"236",2,1932,"journal-article",42,12
"237",2,1933,"journal-article",64,75
"238",2,1934,"journal-article",114,65
"239",2,1935,"journal-article",50,98
"240",2,1936,"journal-article",38,95
"241",2,1937,"journal-article",40,68
"242",2,1938,"journal-article",44,64
"243",2,1939,"journal-article",112,93
"244",2,1940,"journal-article",141,400
"245",2,1941,"journal-article",45,33
"246",2,1942,"journal-article",28,43
"247",2,1943,"journal-article",19,7
"248",2,1944,"journal-article",23,33
"249",2,1945,"journal-article",18,13
"250",2,1946,"journal-article",90,43
"251",2,1947,"journal-article",139,134
"252",2,1948,"journal-article",81,232
"253",2,1949,"journal-article",100,89
"254",2,1950,"journal-article",192,205
"255",2,1951,"journal-article",92,78
"256",2,1952,"journal-article",68,94
"257",2,1953,"journal-article",77,58
"258",2,1954,"journal-article",140,83
"259",2,1955,"journal-article",144,431
"260",2,1956,"journal-article",128,178
"261",2,1957,"journal-article",136,361
"262",2,1958,"journal-article",150,147
"263",2,1959,"journal-article",161,91
"264",2,1960,"journal-article",622,691
"265",2,1961,"journal-article",179,589
"266",2,1962,"journal-article",141,169
"267",2,1963,"journal-article",203,233
"268",2,1964,"journal-article",212,163
"269",2,1965,"journal-article",394,415
"270",2,1966,"journal-article",456,590
"271",2,1967,"journal-article",467,612
"272",2,1968,"journal-article",478,854
"273",2,1969,"journal-article",538,717
"274",2,1970,"journal-article",909,1289
"275",2,1971,"journal-article",585,1264
"276",2,1972,"journal-article",338,700
"277",2,1973,"journal-article",294,1370
"278",2,1974,"journal-article",411,1018
"279",2,1975,"journal-article",431,1065
"280",2,1976,"journal-article",419,963
"281",2,1977,"journal-article",354,1086
"282",2,1978,"journal-article",334,1016
"283",2,1979,"journal-article",551,1875
"284",2,1980,"journal-article",2092,5330
"285",2,1981,"journal-article",468,2044
"286",2,1982,"journal-article",476,3120
"287",2,1983,"journal-article",532,3627
"288",2,1984,"journal-article",531,2681
"289",2,1985,"journal-article",501,2761
"290",2,1986,"journal-article",616,3892
"291",2,1987,"journal-article",429,2233
"292",2,1988,"journal-article",451,2313
"293",2,1989,"journal-article",404,2079
"294",2,1990,"journal-article",2043,5921
"295",2,1991,"journal-article",596,2563
"296",2,1992,"journal-article",730,3027
"297",2,1993,"journal-article",754,3237
"298",2,1994,"journal-article",1009,3687
"299",2,1995,"journal-article",1108,2905
"300",2,1996,"journal-article",1740,5571
"301",2,1997,"journal-article",1890,5888
"302",2,1998,"journal-article",2259,6773
"303",2,1999,"journal-article",1591,4673
"304",2,2000,"journal-article",2555,8324
"305",2,2001,"journal-article",1697,4858
"306",2,2002,"book-chapter",1,0
"307",2,2002,"journal-article",2422,9280
"308",2,2003,"journal-article",2376,9863
"309",2,2004,"book-chapter",11,4
"310",2,2004,"journal-article",2213,9833
"311",2,2005,"book",1,0
"312",2,2005,"book-chapter",1,0
"313",2,2005,"journal-article",2440,9466
"314",2,2006,"journal-article",2670,7161
"315",2,2006,"posted-content",1,0
"316",2,2006,"proceedings-article",1,0
"317",2,2007,"journal-article",2721,6338
"318",2,2007,"posted-content",1,0
"319",2,2008,"journal-article",3293,8068
"320",2,2009,"journal-article",4884,14386
"321",2,2010,"journal-article",3952,9243
"322",2,2010,"posted-content",3,0
"323",2,2011,"journal-article",2858,7028
"324",2,2012,"journal-article",2858,5637
"325",2,2013,"journal-article",2727,4900
"326",2,2013,"posted-content",1,1
"327",2,2014,"journal-article",2222,2974
"328",2,2015,"book-chapter",2,1
"329",2,2015,"journal-article",2549,2558
"330",2,2016,"journal-article",2955,1493
"331",2,2017,"journal-article",2097,1012
"332",2,2018,"journal-article",1391,1051
"333",2,2019,"journal-article",1185,324
"334",2,2019,"journal-issue",1,0
"335",2,2020,"journal",2,1
"336",2,2020,"journal-article",1133,169
"337",2,2020,"posted-content",2,0
"338",2,2021,"book-chapter",1,0
"339",2,2021,"journal",8,0
"340",2,2021,"journal-article",2071,187
"341",2,2021,"journal-issue",4,0
"342",2,2021,"other",3,0
"343",2,2021,NA,162,11
"344",2,2022,"journal",1,0
"345",2,2022,"journal-article",348,27
"346",2,2022,"other",1,0
"347",2,NA,"journal-article",6,0
"348",3,1800,"journal-article",3,0
"349",3,1873,"journal-article",1,0
"350",3,1874,"journal-article",1,0
"351",3,1876,"journal-article",1,0
"352",3,1878,"journal-article",1,0
"353",3,1880,"journal-article",2,0
"354",3,1884,"journal-article",2,0
"355",3,1887,"journal-article",1,0
"356",3,1888,"journal-article",1,0
"357",3,1889,"journal-article",2,0
"358",3,1894,"journal-article",1,0
"359",3,1897,"journal-article",1,0
"360",3,1898,"journal-article",2,0
"361",3,1900,"journal-article",1,0
"362",3,1901,"journal-article",1,0
"363",3,1902,"journal-article",1,0
"364",3,1903,"journal-article",1,0
"365",3,1905,"journal-article",1,0
"366",3,1910,"journal-article",2,0
"367",3,1911,"journal-article",4,0
"368",3,1914,"journal-article",2,0
"369",3,1916,"journal-article",1,0
"370",3,1917,"journal-article",1,0
"371",3,1918,"journal-article",1,0
"372",3,1919,"journal-article",1,0
"373",3,1920,"journal-article",1,0
"374",3,1921,"journal-article",2,0
"375",3,1922,"journal-article",1,0
"376",3,1923,"journal-article",2,0
"377",3,1924,"journal-article",1,0
"378",3,1925,"journal-article",1,0
"379",3,1926,"journal-article",8,3
"380",3,1927,"journal-article",4,0
"381",3,1928,"journal-article",12,2
"382",3,1929,"journal-article",11,13
"383",3,1930,"journal-article",10,0
"384",3,1931,"journal-article",11,0
"385",3,1932,"journal-article",12,0
"386",3,1933,"journal-article",13,2
"387",3,1934,"journal-article",15,0
"388",3,1935,"journal-article",16,0
