inst_name,count
Children's Hospital of Eastern Ontario,59
McMaster University,52
University of Toronto,45
University of British Columbia,32
University of Ottawa,28
Western University,18
University of Prince Edward Island,17
Dalhousie University,16
Queen's University,15
University of Alberta,15
Pediatric Nephrology of Alabama,13
University of Manitoba,13
Institute for Clinical Evaluative Sciences,12
University of Victoria,11
St. Francis Xavier University,11
University of Calgary,11
Simon Fraser University,10
Nipissing University,9
Impact,9
University of Winnipeg,8
