authors,count
Dean Kriellaars,12
Patricia E. Longmuir,11
John Cairney,10
Mark S. Tremblay,10
Joel D. Barnes,9
Emily Bremer,9
Scott Veldhuizen,8
Sean Wiebe,8
Christine Rodriguez,8
Claire Caseley Smith,8
Jeffrey D. Graham,8
Chloe Bedard,8
Kevin Belanger,7
Sarah J. Woodruff,6
Luc J. Martin,4
Travis J. Saunders,4
Barbi Law,4
Melanie Gregg,4
Angela M. Kolen,4
Dany J. MacDonald,4
Dwayne P. Sheehan,4
Michelle Stone,4
Jennifer L. Copeland,4
Brenda Bruner,4
Yifeng Wei,4
Stan Kutcher,4
Nathan Hall,4
Christopher DeLuca,3
Christine Delisle Nyström,3
Kadriye Ercikan,3
Ken R. Lodewyk,3
Kirstin N. Lane,3
Iraj Poureslami,3
James Mandigo,3
Katie E. Gunnell,3
Jacek A. Kopec,3
Richard Sawatzky,3
Kristal D. Anderson,3
Gregory R. Hancock,2
Patti‐Jean Naylor,2
Philip Jefferies,2
Poh Wee Koh,2
Jean‐Philippe Chaput,2
Richard E. Hohn,2
Matthias von Davier,2
Danielle LaPointe-McEwan,2
Maud‐Christine Chouinard,2
J. Mark FitzGerald,2
Simon Rice,2
Jessica Shum,2
Chris Gilham,2
Noah Tregobov,2
Ulemu Luhanga,2
Tongyun Li,2
John L. Oliffe,2
Wolff‐Michael Roth,2
Xi Chen,2
Catherine Hudon,2
Louis Trudel,1
Liying Cheng,1
Michelle Schira Hagerman,1
Murdoch Neil Matheson,1
Lisa W. Le,1
Michelle Y. Chen,1
Louis Volante,1
Michèle Minor-Corriveau,1
Lisa Shamchuk,1
Miloš Kankaraš,1
Mireille Lambert,1
Monica Piekut,1
Mustafa Asıl,1
Michele Reddon,1
Lisa McDaid,1
Mélissa Lavoie,1
Lisa Glithero,1
Mélissa Roy,1
Linda Nguyen,1
Lincoln F. Pratson,1
Nadine Van Wyk,1
Nancy Chen,1
Lianne Van De Wal,1
Neesha Hussain‐Shamsy,1
Nick Bansback,1
Nicole Cameron,1
Leonardo R. Brandão,1
Nicole G. H. LeRICHE,1
Louis‐Philippe Boulet,1
Martin Fortin,1
Michael Ungar,1
Marcia Anderson,1
Martine Puts,1
Mary Oliver,1
Maryam Demian,1
Marta Picinardi,1
Mark Gilbert,1
Norm Archer,1
María Isabel Santaló,1
Marika Warner,1
Marielle Simon,1
Maria Stephens,1
Maria Esther Leiva Portocarrero,1
Margaret Kelaher,1
Marco Paccagnella,1
Marc Stoeckle,1
Martin Hooper,1
Maeghan E. James,1
Meaghan R. Boddy,1
Madison Boyd,1
Megan Cotnam-Kappel,1
Megan E. Holmes,1
Meghann Lloyd,1
M. Louise Humbert,1
