,funder_name,funder_id,award_id
24,Institute of Education Sciences,https://openalex.org/F4320332210,R305A170183
46,Research Councils UK,https://openalex.org/F4320320240,216771/F11
65,Genome Canada,https://openalex.org/F4320310787,GPH129342
66,Genome British Columbia,https://openalex.org/F4320319973,GPH129342
67,Genome Alberta,https://openalex.org/F4320326646,GPH129342
68,Canadian Institutes of Health Research,https://openalex.org/F4320334506,GPH129342
73,Canadian Institutes of Health Research,https://openalex.org/F4320334506,MOP 111076
77,Social Sciences and Humanities Research Council of Canada,https://openalex.org/F4320334617,410-2011-0745
88,Canadian Institutes of Health Research,https://openalex.org/F4320334506,11R06913
89,Canadian Institutes of Health Research,https://openalex.org/F4320334506,20R24515
91,Lawson Foundation,https://openalex.org/F4320319957,20R75337
99,Michael Smith Health Research BC,https://openalex.org/F4320319965,17945
101,Movember Canada,https://openalex.org/F4320331222,11R18296
103,Canadian Institutes of Health Research,https://openalex.org/F4320334506,11R06913
104,Medical Research Council,https://openalex.org/F4320334626,MC_UU_12017/11
121,Canadian Institutes of Health Research,https://openalex.org/F4320334506,20R24515
