,funder_name,funder_id,award_id
0,"Barbara Bates Center for The Study of the History of Nursing, University of Pennsylvania",1,0
1,Canada Research Chairs,1,0
2,Canadian Institutes of Health Research,7,6
3,EuroQol Research Foundation,1,0
4,Genome Alberta,1,1
5,Genome British Columbia,1,1
6,Genome Canada,1,1
7,Institute of Education Sciences,1,1
8,Lawson Foundation,1,1
9,Medical Research Council,1,1
10,Michael Smith Health Research BC,1,1
11,Movember Canada,1,1
12,Ontario Trillium Foundation,1,0
13,Research Councils UK,1,1
14,Social Sciences and Humanities Research Council of Canada,3,1
15,University of British Columbia,1,0
16,WorkSafeBC,1,0
