unique_id,citation,key_findings
4,"Poureslami, I., Hohn, R. E., Kopec, J. A., Sawatzky, R., Aaron, S. D., Gupta, S., Goldstein, R., Boulet, L.-P., Tregobov, N., & Shum, J. (2023). Evaluation of a New Performance-Based Health Literacy Measurement Tool for Individuals With Chronic Airways Disease. Respir. Care, 68(5), 638–648. https://doi.org/10.4187/respcare.10441","The study found that age and education significantly correlated with health literacy scores. Older age was associated with lower health literacy scores, and higher education levels correlated with higher scores. The findings suggest that these demographic factors are crucial in designing health literacy interventions."
9,"Cénat, J. M., Farahi, S. M. M. M., Dalexis, R. D., Yaya, S., Caulley, L., & Chomienne, M.-H. (2024). COVID-19 vaccine uptake, conspiracy theories, and health literacy among Black individuals in Canada: Racial discrimination, confidence in health, and COVID-19 stress as mediators. J. Med. Virol., 96(2). https://doi.org/10.1002/jmv.29467","Approximately 70% of participants were vaccinated, with health literacy positively influencing vaccine uptake.
Racial discrimination, confidence in health authorities, and COVID-19-related stress partially mediated the relationship between health literacy and vaccine uptake.
Conspiracy theories had a significant negative association with vaccination status."
10,"Hohn, R. E., Kopec, J. A., Sawatzky, R., Poureslami, I., & FitzGerald, J. M. (2023). Measuring skill-based health literacy in chronic airway disease patients: the development and psychometric evaluation of the Vancouver airways health literacy tool (VAHLT). Qual. Life Res., 32(10), 2875–2886. https://doi.org/10.1007/s11136-023-03447-5","The VAHLT effectively measures skill-based health literacy for CAD management, demonstrating strong reliability and validity.
Content validity was ensured through input from patients, healthcare providers, and policymakers.
Statistical analysis indicated that the tool is unidimensional, with a focus on lower ranges of health literacy, making it suitable for identifying patients most in need of support.
Future work should include external validation and adaptations for diverse populations."
18,"Buchan, M. C., Bhawra, J., & Katapally, T. R. (2024). Navigating the digital world: development of an evidence-based digital literacy program and assessment tool for youth. Smart Learn. Environ., 11(1). https://doi.org/10.1186/s40561-024-00293-x","The study highlights the importance of a tailored digital literacy program for youth to address disparities in digital skills. It emphasizes that digital literacy is crucial for online safety and responsible use of digital platforms. The program developed aims to address digital divides by catering to diverse demographics, including culturally diverse and geographically remote communitiesâ€‹"
28,"Warrican, S. J., Alleyne, M., Smith, P., Zaidi, R., Esperat, T. K., Chen, Y.-H., & Yin, Y. (2022). Cultural alloys and heterogeneous mixes: Contextualized and comparative language differences in literacy assessment of U.S. and Canadian youth. Res. Comp. Int. Educ., 17(1), 3–28. https://doi.org/10.1177/17454999211057449","Differences in reading literacy performance between native and non-native English speakers in both the U.S. and Canada.
Impact of language policies and multicultural educational approaches on literacy outcomes.
The role of language congruence (assessment language matching home language) in literacy performance."
32,"Makowsky, M. J., Davachi, S., & Jones, C. A. (2022). eHealth Literacy in a Sample of South Asian Adults in Edmonton, Alberta, Canada: Subanalysis of a 2014 Community-Based Survey. JMIR Form.  Res., 6(3). https://doi.org/10.2196/29955","The mean eHEALS score was 29.3 (SD 6.8) out of 40, indicating generally high eHealth literacy among respondents.
Language preference (non-English) was the only independent variable significantly associated with lower eHealth literacy.
Respondents scored lower on items assessing their ability to evaluate the quality of online health resources.
Suggested interventions include culturally and linguistically tailored strategies to improve eHealth literacy among South Asian populations."
37,"Caldwell, H. A. T., Miller, M. B., Tweedie, C., Zahavich, J. B. L., Cockett, E., & Rehman, L. (2022). The Impact of an After-School Physical Activity Program on Children’s Physical Activity and Well-Being during the COVID-19 Pandemic: A Mixed-Methods Evaluation Study. Int. J. Environ. Res. Public Health, 19(9). https://doi.org/10.3390/ijerph19095640","Participation in the BOKS program had a positive effect on childrenâ€™s physical well-being, potentially mitigating COVID-19-related declines in physical activity. Children enjoyed the program, which helped maintain their physical activity and supported their cognitive and emotional health during the pandemic"
41,"Bremer, E., Jefferies, P., Cairney, J., & Kriellaars, D. (2023). A cross-sectional study of Canadian children’s valuation of literacies across social contexts. Frontier. Sport. Act. Living., 5. https://doi.org/10.3389/fspor.2023.1125072","Childrenâ€™s valuation of movement remained relatively stable across contexts, while the valuation of reading/writing and math decreased from school to home to friends.
Movement was highly valued by children in all social contexts, suggesting potential for interventions promoting physical activity aligned with childrenâ€™s preferences.
Differences in literacy valuations were observed by age and minimal sex differences were noted, with females generally valuing reading/writing and math more highly than males in school and at homeâ€‹"
42,"MacDonald, E., Arpin, E., & Quesnel-Vallée, A. (2022). Literacy and self-rated health: Analysis of the Longitudinal and International Study of Adults (LISA). SSM Popul. Health, 17. https://doi.org/10.1016/j.ssmph.2022.101038","Literacy and numeracy are significant determinants of self-reported health, independent of education, particularly for older adults (ages 40â€“65).
Higher proficiency in literacy and numeracy is associated with lower odds of reporting poor health.
Education influences health indirectly through literacy and numeracy, suggesting these skills mediate the education-health gradient.
Numeracy demonstrated a stronger relationship with self-reported health compared to literacy.
The study emphasizes the importance of incorporating literacy and numeracy into health promotion policies and interventions."
45,"Hwang, Y., Boyd, M., Naylor, P.-J., Rhodes, R. E., Liu, S., Moldenhauer, R., Li, J., Wright, C., Buckler, E. J., & Carson, V. (2023). Piloting the Virtual PLAYshop Program: A Parent-Focused Physical Literacy Intervention for Early Childhood. Child., 10(4). https://doi.org/10.3390/children10040720","High feasibility and parent satisfaction with the virtual program.
Improvements were noted in parental knowledge, confidence, and motivation regarding physical literacy activities.
Children showed a medium effect size improvement in hopping skills.
Barriers and facilitators included parental energy, time constraints, access to resources, child interest, and environmental factors (e.g., space, weather).
Recommendations for future studies include assessing physical literacy holistically and refining balance assessments for children."
