source,target,weight,type
1000,1001,1,undirected
1000,1002,2,undirected
1000,1003,1,undirected
1000,1004,1,undirected
1000,1113,1,undirected
1000,1316,1,undirected
1000,1692,1,undirected
1000,194,1,undirected
1000,2012,1,undirected
1000,2013,1,undirected
1000,2014,1,undirected
1000,2015,1,undirected
1000,2016,1,undirected
1000,2017,1,undirected
1000,2018,1,undirected
1000,2019,1,undirected
1000,2020,1,undirected
1000,2021,1,undirected
1000,2022,1,undirected
1000,2023,1,undirected
1000,2024,1,undirected
1000,2025,1,undirected
1000,2026,1,undirected
1000,2027,1,undirected
1000,2028,1,undirected
1000,2029,1,undirected
1000,2030,1,undirected
1000,2031,1,undirected
1000,2032,1,undirected
1000,2033,1,undirected
1000,2034,1,undirected
1000,2035,1,undirected
1000,2036,1,undirected
1000,2037,1,undirected
1000,2038,1,undirected
1000,2039,1,undirected
1000,2040,1,undirected
1000,2041,1,undirected
1000,2042,1,undirected
1000,2043,1,undirected
1000,2044,1,undirected
1000,2045,1,undirected
1000,2046,1,undirected
1000,2047,1,undirected
1000,2048,1,undirected
1000,2049,1,undirected
1000,2050,1,undirected
1000,2051,1,undirected
1000,2052,1,undirected
1000,2053,1,undirected
1000,2054,1,undirected
1000,2055,1,undirected
1000,2056,1,undirected
1000,2057,1,undirected
1000,2058,1,undirected
1000,2059,1,undirected
1000,2060,1,undirected
1000,2061,1,undirected
1000,2062,2,undirected
1000,2063,2,undirected
1000,2537,1,undirected
1000,308,1,undirected
1000,3471,1,undirected
1000,479,1,undirected
1000,738,1,undirected
1000,826,1,undirected
1000,954,1,undirected
1000,955,1,undirected
1000,956,1,undirected
1000,957,1,undirected
1000,958,1,undirected
1000,959,1,undirected
1000,960,1,undirected
1000,961,1,undirected
1000,962,1,undirected
1000,963,1,undirected
1000,964,1,undirected
1000,965,1,undirected
1000,966,1,undirected
1000,967,1,undirected
1000,968,1,undirected
1000,969,1,undirected
1000,970,1,undirected
1000,971,1,undirected
1000,972,1,undirected
1000,973,1,undirected
1000,974,1,undirected
1000,975,1,undirected
1000,976,1,undirected
1000,977,1,undirected
1000,978,1,undirected
1000,979,1,undirected
1000,980,1,undirected
1000,981,1,undirected
1000,982,1,undirected
1000,983,1,undirected
1000,984,1,undirected
1000,985,1,undirected
1000,986,1,undirected
1000,987,1,undirected
1000,988,1,undirected
1000,989,1,undirected
1000,990,1,undirected
1000,991,1,undirected
1000,992,1,undirected
1000,993,1,undirected
1000,994,1,undirected
1000,995,1,undirected
1000,996,1,undirected
1000,997,1,undirected
1000,998,1,undirected
1000,999,1,undirected
1001,1002,1,undirected
1001,1003,1,undirected
1001,1004,1,undirected
1001,2062,1,undirected
1001,2063,1,undirected
1001,954,1,undirected
1001,955,1,undirected
1001,956,1,undirected
1001,957,1,undirected
1001,958,1,undirected
1001,959,1,undirected
1001,960,1,undirected
1001,961,1,undirected
1001,962,1,undirected
1001,963,1,undirected
1001,964,1,undirected
1001,965,1,undirected
1001,966,1,undirected
1001,967,1,undirected
1001,968,1,undirected
1001,969,1,undirected
1001,970,1,undirected
1001,971,1,undirected
1001,972,1,undirected
1001,973,1,undirected
1001,974,1,undirected
1001,975,1,undirected
1001,976,1,undirected
1001,977,1,undirected
1001,978,1,undirected
1001,979,1,undirected
1001,980,1,undirected
1001,981,1,undirected
1001,982,1,undirected
1001,983,1,undirected
1001,984,1,undirected
1001,985,1,undirected
1001,986,1,undirected
1001,987,1,undirected
1001,988,1,undirected
1001,989,1,undirected
1001,990,1,undirected
1001,991,1,undirected
1001,992,1,undirected
1001,993,1,undirected
1001,994,1,undirected
1001,995,1,undirected
1001,996,1,undirected
1001,997,1,undirected
1001,998,1,undirected
1001,999,1,undirected
1002,1003,1,undirected
1002,1004,1,undirected
1002,1113,1,undirected
1002,1316,1,undirected
1002,1692,1,undirected
1002,194,1,undirected
1002,2012,1,undirected
1002,2013,1,undirected
1002,2014,1,undirected
1002,2015,1,undirected
1002,2016,1,undirected
1002,2017,1,undirected
1002,2018,1,undirected
1002,2019,1,undirected
1002,2020,1,undirected
1002,2021,1,undirected
1002,2022,1,undirected
1002,2023,1,undirected
1002,2024,1,undirected
1002,2025,1,undirected
1002,2026,1,undirected
1002,2027,1,undirected
1002,2028,1,undirected
1002,2029,1,undirected
1002,2030,1,undirected
1002,2031,1,undirected
1002,2032,1,undirected
1002,2033,1,undirected
1002,2034,1,undirected
1002,2035,1,undirected
1002,2036,1,undirected
1002,2037,1,undirected
1002,2038,1,undirected
1002,2039,1,undirected
1002,2040,1,undirected
1002,2041,1,undirected
1002,2042,1,undirected
1002,2043,1,undirected
1002,2044,1,undirected
1002,2045,1,undirected
1002,2046,1,undirected
1002,2047,1,undirected
1002,2048,1,undirected
1002,2049,1,undirected
1002,2050,1,undirected
1002,2051,1,undirected
1002,2052,1,undirected
1002,2053,1,undirected
1002,2054,1,undirected
1002,2055,1,undirected
1002,2056,1,undirected
1002,2057,1,undirected
1002,2058,1,undirected
1002,2059,1,undirected
1002,2060,1,undirected
1002,2061,1,undirected
1002,2062,2,undirected
1002,2063,2,undirected
1002,2537,1,undirected
1002,308,1,undirected
1002,3471,1,undirected
1002,479,1,undirected
1002,738,1,undirected
1002,826,1,undirected
1002,954,1,undirected
1002,955,1,undirected
1002,956,1,undirected
1002,957,1,undirected
1002,958,1,undirected
1002,959,1,undirected
1002,960,1,undirected
1002,961,1,undirected
1002,962,1,undirected
1002,963,1,undirected
1002,964,1,undirected
1002,965,1,undirected
1002,966,1,undirected
1002,967,1,undirected
1002,968,1,undirected
1002,969,1,undirected
1002,970,1,undirected
1002,971,1,undirected
1002,972,1,undirected
1002,973,1,undirected
1002,974,1,undirected
1002,975,1,undirected
1002,976,1,undirected
1002,977,1,undirected
1002,978,1,undirected
1002,979,1,undirected
1002,980,1,undirected
1002,981,1,undirected
1002,982,1,undirected
1002,983,1,undirected
1002,984,1,undirected
1002,985,1,undirected
1002,986,1,undirected
1002,987,1,undirected
1002,988,1,undirected
1002,989,1,undirected
1002,990,1,undirected
1002,991,1,undirected
1002,992,1,undirected
1002,993,1,undirected
1002,994,1,undirected
1002,995,1,undirected
1002,996,1,undirected
1002,997,1,undirected
1002,998,1,undirected
1002,999,1,undirected
1003,1004,1,undirected
1003,2062,1,undirected
1003,2063,1,undirected
1003,954,1,undirected
1003,955,1,undirected
1003,956,1,undirected
1003,957,1,undirected
1003,958,1,undirected
1003,959,1,undirected
1003,960,1,undirected
1003,961,1,undirected
1003,962,1,undirected
1003,963,1,undirected
1003,964,1,undirected
1003,965,1,undirected
1003,966,1,undirected
1003,967,1,undirected
1003,968,1,undirected
1003,969,1,undirected
1003,970,1,undirected
1003,971,1,undirected
1003,972,1,undirected
1003,973,1,undirected
1003,974,1,undirected
1003,975,1,undirected
1003,976,1,undirected
1003,977,1,undirected
1003,978,1,undirected
1003,979,1,undirected
1003,980,1,undirected
1003,981,1,undirected
1003,982,1,undirected
1003,983,1,undirected
1003,984,1,undirected
1003,985,1,undirected
1003,986,1,undirected
1003,987,1,undirected
1003,988,1,undirected
1003,989,1,undirected
1003,990,1,undirected
1003,991,1,undirected
1003,992,1,undirected
1003,993,1,undirected
1003,994,1,undirected
1003,995,1,undirected
1003,996,1,undirected
1003,997,1,undirected
1003,998,1,undirected
1003,999,1,undirected
1004,2062,1,undirected
1004,2063,1,undirected
1004,954,1,undirected
1004,955,1,undirected
1004,956,1,undirected
1004,957,1,undirected
1004,958,1,undirected
1004,959,1,undirected
1004,960,1,undirected
1004,961,1,undirected
1004,962,1,undirected
1004,963,1,undirected
1004,964,1,undirected
1004,965,1,undirected
1004,966,1,undirected
1004,967,1,undirected
1004,968,1,undirected
1004,969,1,undirected
1004,970,1,undirected
1004,971,1,undirected
1004,972,1,undirected
1004,973,1,undirected
1004,974,1,undirected
1004,975,1,undirected
1004,976,1,undirected
1004,977,1,undirected
1004,978,1,undirected
1004,979,1,undirected
1004,980,1,undirected
1004,981,1,undirected
1004,982,1,undirected
1004,983,1,undirected
1004,984,1,undirected
1004,985,1,undirected
1004,986,1,undirected
1004,987,1,undirected
1004,988,1,undirected
1004,989,1,undirected
1004,990,1,undirected
1004,991,1,undirected
1004,992,1,undirected
1004,993,1,undirected
1004,994,1,undirected
1004,995,1,undirected
1004,996,1,undirected
1004,997,1,undirected
1004,998,1,undirected
1004,999,1,undirected
1005,1006,1,undirected
1005,1007,1,undirected
1005,1008,1,undirected
1005,1009,1,undirected
1005,1010,1,undirected
1005,1011,1,undirected
1005,1012,1,undirected
1005,1013,1,undirected
1005,1014,1,undirected
1005,1015,1,undirected
1005,1016,1,undirected
1005,1017,1,undirected
1005,1018,1,undirected
1005,1019,1,undirected
1005,1020,1,undirected
1005,1021,1,undirected
1005,1022,1,undirected
1005,1023,1,undirected
1005,1024,1,undirected
1005,1058,1,undirected
1005,1082,1,undirected
1005,1087,1,undirected
1005,1090,1,undirected
1005,1228,1,undirected
1005,1774,1,undirected
1005,1951,1,undirected
1005,1963,1,undirected
1005,2153,1,undirected
1005,2213,1,undirected
1005,2221,1,undirected
1005,2237,1,undirected
1005,2883,1,undirected
1005,2886,1,undirected
1005,3198,1,undirected
1005,3199,1,undirected
1005,3577,1,undirected
1005,3602,1,undirected
1006,1007,1,undirected
1006,1008,1,undirected
1006,1009,1,undirected
1006,1010,1,undirected
1006,1011,2,undirected
1006,1012,1,undirected
1006,1013,1,undirected
1006,1014,1,undirected
1006,1015,1,undirected
1006,1016,1,undirected
1006,1017,1,undirected
1006,1018,1,undirected
1006,1019,1,undirected
1006,1020,1,undirected
1006,1021,2,undirected
1006,1022,1,undirected
