source,target,weight,type
1,11,18,undirected
1,17,9,undirected
1,2186,9,undirected
1,25,9,undirected
1,2660,9,undirected
1,32,18,undirected
1,46,9,undirected
1,57,9,undirected
1,67,9,undirected
1,78,9,undirected
100,1500,17,undirected
100,1503,10,undirected
100,1529,10,undirected
100,1572,17,undirected
100,1573,10,undirected
100,1579,4,undirected
100,1721,17,undirected
100,1821,17,undirected
100,1824,10,undirected
100,1895,17,undirected
100,1896,10,undirected
100,2200,10,undirected
100,2492,34,undirected
100,25,22,undirected
100,2666,17,undirected
100,2670,10,undirected
100,2787,4,undirected
100,2788,10,undirected
100,3274,34,undirected
100,3283,10,undirected
100,3288,12,undirected
100,33,34,undirected
100,45,6,undirected
100,50,17,undirected
100,51,34,undirected
100,53,10,undirected
100,54,10,undirected
100,71,17,undirected
100,727,10,undirected
100,73,4,undirected
100,77,12,undirected
100,81,4,undirected
100,84,14,undirected
100,91,2,undirected
100,96,7,undirected
100,98,21,undirected
101,11,8,undirected
101,32,8,undirected
101,34,4,undirected
101,67,2,undirected
101,74,2,undirected
103,104,17,undirected
103,1446,6,undirected
103,1470,6,undirected
103,1489,6,undirected
103,1500,6,undirected
103,1501,6,undirected
103,1509,6,undirected
103,1536,6,undirected
103,1572,6,undirected
103,1697,6,undirected
103,1721,6,undirected
103,1808,6,undirected
103,1821,6,undirected
103,1858,6,undirected
103,1895,6,undirected
103,2069,6,undirected
103,2170,6,undirected
103,2258,6,undirected
103,2492,12,undirected
103,2644,6,undirected
103,2666,6,undirected
103,2667,6,undirected
103,2751,6,undirected
103,3274,12,undirected
103,33,12,undirected
103,3596,10,undirected
103,36,6,undirected
103,3637,6,undirected
103,3660,10,undirected
103,38,6,undirected
103,41,4,undirected
103,45,6,undirected
103,51,12,undirected
103,58,6,undirected
103,71,6,undirected
103,72,6,undirected
103,76,10,undirected
103,832,6,undirected
103,87,10,undirected
103,94,10,undirected
104,317,2,undirected
104,3596,46,undirected
104,3637,18,undirected
104,3660,46,undirected
104,38,5,undirected
104,40,12,undirected
104,43,2,undirected
104,44,5,undirected
104,45,8,undirected
104,56,6,undirected
104,60,15,undirected
104,65,7,undirected
104,70,10,undirected
104,72,18,undirected
104,75,2,undirected
104,76,46,undirected
104,78,10,undirected
104,87,5,undirected
104,88,2,undirected
104,91,13,undirected
104,94,18,undirected
104,97,2,undirected
104,99,10,undirected
11,17,18,undirected
11,18,6,undirected
11,2186,18,undirected
11,25,18,undirected
11,2660,18,undirected
11,32,232,undirected
11,34,8,undirected
11,46,18,undirected
11,57,18,undirected
11,67,18,undirected
11,78,18,undirected
14,29,3,undirected
14,317,5,undirected
14,336,44,undirected
14,43,5,undirected
14,47,13,undirected
14,66,44,undirected
14,86,7,undirected
1446,1470,149,undirected
1446,1489,149,undirected
1446,1500,102,undirected
1446,1501,83,undirected
1446,1503,98,undirected
1446,1509,149,undirected
1446,1529,98,undirected
1446,1536,149,undirected
1446,1572,102,undirected
1446,1573,65,undirected
1446,1575,65,undirected
1446,1576,74,undirected
1446,1579,86,undirected
1446,1697,149,undirected
1446,17,9,undirected
1446,1721,102,undirected
1446,1722,64,undirected
1446,1808,149,undirected
1446,1821,102,undirected
1446,1824,98,undirected
1446,1858,149,undirected
1446,1895,102,undirected
1446,1896,98,undirected
1446,2069,149,undirected
1446,2170,149,undirected
1446,2186,21,undirected
1446,2197,64,undirected
1446,2200,98,undirected
1446,2258,149,undirected
1446,2492,12,undirected
1446,25,11,undirected
1446,2644,149,undirected
1446,2660,21,undirected
1446,2666,102,undirected
1446,2667,83,undirected
1446,2670,98,undirected
1446,2751,149,undirected
1446,2785,64,undirected
1446,2787,86,undirected
1446,2788,98,undirected
1446,3274,12,undirected
1446,3283,98,undirected
1446,3288,7,undirected
1446,33,12,undirected
1446,36,149,undirected
1446,3637,3,undirected
1446,46,21,undirected
1446,47,3,undirected
