source,target,weight,type
1,105,1,directed
1,106,1,directed
1,107,1,directed
1,108,1,directed
1,109,1,directed
1,110,1,directed
1,111,1,directed
1,112,1,directed
1,113,1,directed
1,114,1,directed
1,115,1,directed
1,116,1,directed
1,117,1,directed
1,118,1,directed
1,119,1,directed
1,120,1,directed
1,121,1,directed
1,122,1,directed
1,123,1,directed
1,124,1,directed
1,125,1,directed
1,126,1,directed
1,127,1,directed
1,128,1,directed
1,129,1,directed
1,130,1,directed
1,131,1,directed
1,132,1,directed
1,133,1,directed
1,134,1,directed
1,135,1,directed
1,136,1,directed
1,137,1,directed
1,138,1,directed
1,139,1,directed
1,140,1,directed
1,141,1,directed
1,142,1,directed
1,143,1,directed
1,144,1,directed
1,145,1,directed
1,146,1,directed
1,147,1,directed
1,148,1,directed
1,149,1,directed
1,150,1,directed
1,151,1,directed
1,152,1,directed
1,153,1,directed
1,154,1,directed
1,155,1,directed
1,156,1,directed
1,157,1,directed
1,158,1,directed
1,159,1,directed
1,160,1,directed
1,161,1,directed
1,162,1,directed
1,163,1,directed
1,164,1,directed
1,165,1,directed
1,166,1,directed
1,167,1,directed
1,168,1,directed
1,169,1,directed
1,170,1,directed
1,171,1,directed
1,172,1,directed
1,173,1,directed
1,174,1,directed
1,175,1,directed
1,176,1,directed
1,177,1,directed
1,178,1,directed
1,179,1,directed
1,180,1,directed
1,181,1,directed
1,182,1,directed
1,183,1,directed
1,184,1,directed
1,185,1,directed
1,186,1,directed
1,187,1,directed
1,188,1,directed
1,189,1,directed
1,190,1,directed
1,191,1,directed
1,192,1,directed
1,193,1,directed
1,194,1,directed
1,308,1,directed
1,479,1,directed
1,738,1,directed
1,826,1,directed
1,1316,1,directed
1,1692,1,directed
1,2059,1,directed
1,2537,1,directed
1,195,1,directed
1,196,1,directed
1,197,1,directed
4,198,1,directed
4,199,1,directed
4,200,1,directed
4,201,1,directed
4,202,1,directed
4,203,1,directed
4,204,1,directed
4,205,1,directed
4,206,1,directed
4,207,1,directed
4,208,1,directed
4,2245,1,directed
4,209,1,directed
4,210,1,directed
4,211,1,directed
4,212,1,directed
4,213,1,directed
6,214,1,directed
6,215,1,directed
6,216,1,directed
6,217,1,directed
6,218,1,directed
6,219,1,directed
6,220,1,directed
6,221,1,directed
6,222,1,directed
6,223,1,directed
6,224,1,directed
6,225,1,directed
6,613,1,directed
6,226,1,directed
6,227,1,directed
6,228,1,directed
6,229,1,directed
6,230,1,directed
6,231,1,directed
6,232,1,directed
6,233,1,directed
6,234,1,directed
6,548,1,directed
6,235,1,directed
6,236,1,directed
6,237,1,directed
6,2564,1,directed
6,238,1,directed
6,239,1,directed
6,240,1,directed
6,241,1,directed
6,242,1,directed
6,243,1,directed
6,244,1,directed
6,245,1,directed
6,246,1,directed
6,247,1,directed
6,248,1,directed
6,249,1,directed
6,250,1,directed
6,251,1,directed
6,252,1,directed
6,253,1,directed
6,254,1,directed
6,255,1,directed
6,256,1,directed
6,257,1,directed
6,258,1,directed
6,259,1,directed
6,260,1,directed
6,663,1,directed
6,261,1,directed
6,262,1,directed
6,263,1,directed
9,264,1,directed
9,3067,1,directed
9,265,1,directed
9,1732,1,directed
9,266,1,directed
9,267,1,directed
9,1734,1,directed
9,268,1,directed
9,1735,1,directed
9,269,1,directed
9,270,1,directed
9,1739,1,directed
9,271,1,directed
9,1741,1,directed
9,272,1,directed
9,273,1,directed
9,274,1,directed
9,1744,1,directed
9,275,1,directed
9,1747,1,directed
9,276,1,directed
9,277,1,directed
9,278,1,directed
9,279,1,directed
9,280,1,directed
9,281,1,directed
9,282,1,directed
9,1754,1,directed
9,59,1,directed
9,283,1,directed
9,284,1,directed
9,1759,1,directed
9,285,1,directed
9,286,1,directed
9,654,1,directed
9,800,1,directed
11,287,1,directed
11,486,1,directed
11,805,1,directed
32,287,1,directed
32,486,1,directed
32,805,1,directed
11,288,1,directed
11,806,1,directed
32,288,1,directed
32,806,1,directed
11,289,1,directed
11,807,1,directed
32,289,1,directed
32,807,1,directed
11,290,1,directed
11,808,1,directed
32,290,1,directed
32,808,1,directed
11,291,1,directed
11,809,1,directed
32,291,1,directed
32,809,1,directed
11,292,1,directed
11,810,1,directed
32,292,1,directed
32,810,1,directed
11,293,1,directed
11,811,1,directed
32,293,1,directed
32,811,1,directed
11,294,1,directed
11,812,1,directed
32,294,1,directed
32,812,1,directed
11,295,1,directed
11,813,1,directed
32,295,1,directed
32,813,1,directed
11,296,1,directed
11,814,1,directed
32,296,1,directed
32,814,1,directed
11,297,1,directed
11,815,1,directed
32,297,1,directed
32,815,1,directed
11,298,1,directed
11,816,1,directed
32,298,1,directed
32,816,1,directed
11,299,1,directed
11,817,1,directed
32,299,1,directed
32,817,1,directed
11,300,1,directed
11,818,1,directed
32,300,1,directed
32,818,1,directed
11,301,1,directed
11,819,1,directed
32,301,1,directed
32,819,1,directed
11,302,1,directed
11,820,1,directed
32,302,1,directed
32,820,1,directed
11,303,1,directed
11,821,1,directed
32,303,1,directed
32,821,1,directed
11,304,1,directed
11,822,1,directed
32,304,1,directed
32,822,1,directed
11,305,1,directed
11,823,1,directed
32,305,1,directed
32,823,1,directed
11,306,1,directed
11,824,1,directed
32,306,1,directed
32,824,1,directed
11,307,1,directed
11,825,1,directed
11,877,1,directed
11,3503,1,directed
32,307,1,directed
32,825,1,directed
32,877,1,directed
32,3503,1,directed
11,194,1,directed
11,308,1,directed
11,479,1,directed
11,738,1,directed
11,826,1,directed
11,1316,1,directed
11,1692,1,directed
11,2059,1,directed
11,2537,1,directed
32,194,1,directed
32,308,1,directed
32,479,1,directed
32,738,1,directed
32,826,1,directed
32,1316,1,directed
32,1692,1,directed
32,2059,1,directed
32,2537,1,directed
11,309,1,directed
11,827,1,directed
32,309,1,directed
32,827,1,directed
11,310,1,directed
11,828,1,directed
32,310,1,directed
32,828,1,directed
14,311,1,directed
14,1974,1,directed
14,312,1,directed
14,1975,1,directed
14,313,1,directed
14,1978,1,directed
14,314,1,directed
14,1980,1,directed
14,315,1,directed
14,1161,1,directed
14,1983,1,directed
14,316,1,directed
14,43,1,directed
14,317,1,directed
14,318,1,directed
14,1985,1,directed
14,319,1,directed
14,755,1,directed
14,1986,1,directed
14,320,1,directed
14,321,1,directed
14,1989,1,directed
14,322,1,directed
14,1990,1,directed
14,323,1,directed
14,1993,1,directed
14,324,1,directed
14,1996,1,directed
14,325,1,directed
14,1997,1,directed
14,326,1,directed
14,1172,1,directed
14,327,1,directed
14,1999,1,directed
14,328,1,directed
14,2002,1,directed
14,329,1,directed
14,330,1,directed
14,1343,1,directed
14,2005,1,directed
14,2856,1,directed
14,331,1,directed
14,332,1,directed
14,1344,1,directed
14,2006,1,directed
14,333,1,directed
14,1345,1,directed
14,2007,1,directed
14,334,1,directed
14,1346,1,directed
14,2860,1,directed
14,335,1,directed
14,66,1,directed
14,336,1,directed
14,337,1,directed
14,2008,1,directed
14,338,1,directed
14,339,1,directed
14,2011,1,directed
15,340,1,directed
15,407,1,directed
15,341,1,directed
15,342,1,directed
15,343,1,directed
15,344,1,directed
15,345,1,directed
15,346,1,directed
15,347,1,directed
15,348,1,directed
15,349,1,directed
15,350,1,directed
15,351,1,directed
15,352,1,directed
15,353,1,directed
15,354,1,directed
15,355,1,directed
15,356,1,directed
15,357,1,directed
15,358,1,directed
15,359,1,directed
15,360,1,directed
15,361,1,directed
15,362,1,directed
15,363,1,directed
15,2799,1,directed
15,364,1,directed
15,365,1,directed
15,366,1,directed
15,367,1,directed
15,368,1,directed
15,369,1,directed
15,370,1,directed
15,371,1,directed
15,372,1,directed
15,373,1,directed
15,374,1,directed
15,375,1,directed
15,376,1,directed
15,377,1,directed
15,378,1,directed
15,379,1,directed
15,380,1,directed
15,381,1,directed
15,382,1,directed
15,383,1,directed
15,384,1,directed
