id,component,cluster_louvain,cluster_leiden,degree,closeness,eigen_centrality,Label
1,0,2,0,10,0.4017857142857143,0.010868870877738938,https://openalex.org/W2546189960
11,0,2,0,13,0.4078549848942598,0.010887679676274345,https://openalex.org/W2612367365
17,0,2,0,42,0.45454545454545453,0.06731997899181186,https://openalex.org/W1983406153
2186,0,2,0,79,0.5601659751037344,0.12121340927575668,https://openalex.org/W2291543154
25,0,0,2,73,0.5018587360594795,0.12778763918939198,https://openalex.org/W3096522693
2660,0,2,0,79,0.5601659751037344,0.12121340927575668,https://openalex.org/W2291543154
32,0,2,0,13,0.4078549848942598,0.010887679676274345,https://openalex.org/W2612367365
46,0,2,0,79,0.5601659751037344,0.12121340927575668,https://openalex.org/W2291543154
57,0,2,0,22,0.45302013422818793,0.013814140425599067,https://openalex.org/W2794438485
67,0,2,0,14,0.4090909090909091,0.010885077353597006,https://openalex.org/W2737442553
78,0,2,0,63,0.5192307692307693,0.08699820276065132,https://openalex.org/W3035800846
100,0,0,2,36,0.4485049833887043,0.06484983249143056,https://openalex.org/W4327598178
1500,0,0,2,69,0.4909090909090909,0.12710425323230282,https://openalex.org/W2894683557
1503,0,3,1,68,0.48214285714285715,0.12690112888999835,https://openalex.org/W2895509011
1529,0,3,1,68,0.48214285714285715,0.12690112888999835,https://openalex.org/W2895509011
1572,0,0,2,69,0.4909090909090909,0.12710425323230282,https://openalex.org/W2894683557
1573,0,3,2,66,0.46075085324232085,0.12451556506518244,https://openalex.org/W2894914095
1579,0,3,1,63,0.4623287671232877,0.11994797181433585,https://openalex.org/W2895497822
1721,0,0,2,69,0.4909090909090909,0.12710425323230282,https://openalex.org/W2894683557
1821,0,0,2,69,0.4909090909090909,0.12710425323230282,https://openalex.org/W2894683557
1824,0,3,1,68,0.48214285714285715,0.12690112888999835,https://openalex.org/W2895509011
1895,0,0,2,69,0.4909090909090909,0.12710425323230282,https://openalex.org/W2894683557
1896,0,3,1,68,0.48214285714285715,0.12690112888999835,https://openalex.org/W2895509011
2200,0,3,1,68,0.48214285714285715,0.12690112888999835,https://openalex.org/W2895509011
2492,0,0,2,64,0.4576271186440678,0.11981441044445294,https://openalex.org/W2768220913
2666,0,0,2,69,0.4909090909090909,0.1271042532323028,https://openalex.org/W2894683557
2670,0,3,1,68,0.48214285714285715,0.12690112888999835,https://openalex.org/W2895509011
2787,0,3,1,63,0.4623287671232877,0.11994797181433584,https://openalex.org/W2895497822
2788,0,3,1,68,0.48214285714285715,0.12690112888999835,https://openalex.org/W2895509011
3274,0,0,2,64,0.4576271186440678,0.11981441044445294,https://openalex.org/W2768220913
3283,0,3,1,68,0.48214285714285715,0.12690112888999835,https://openalex.org/W2895509011
3288,0,0,2,56,0.4560810810810811,0.10654654076456155,https://openalex.org/W2991461979
33,0,0,2,64,0.4576271186440678,0.11981441044445294,https://openalex.org/W2768220913
45,0,2,0,27,0.4623287671232877,0.012359444689531898,https://openalex.org/W2518045192
50,0,0,2,50,0.4340836012861736,0.09352952959875634,https://openalex.org/W2801027355
51,0,0,2,64,0.4576271186440678,0.11981441044445294,https://openalex.org/W2768220913
53,0,3,2,66,0.46075085324232085,0.12451556506518244,https://openalex.org/W2894914095
54,0,3,1,68,0.48214285714285715,0.12690112888999835,https://openalex.org/W2895509011
71,0,0,2,69,0.4909090909090909,0.1271042532323028,https://openalex.org/W2894683557
727,0,3,1,68,0.48214285714285715,0.12690112888999835,https://openalex.org/W2895509011
73,0,3,1,63,0.4623287671232877,0.11994797181433585,https://openalex.org/W2895497822
77,0,0,2,56,0.4560810810810811,0.10654654076456156,https://openalex.org/W2991461979
81,0,3,1,66,0.46075085324232085,0.12451556506518244,https://openalex.org/W2983457005
84,0,3,2,64,0.4576271186440678,0.12122147644232344,https://openalex.org/W3133989721
91,0,2,0,16,0.4041916167664671,0.005185090148720374,https://openalex.org/W4221018637
96,0,2,2,61,0.45302013422818793,0.11398495815528117,https://openalex.org/W4200243991
98,0,0,2,40,0.45302013422818793,0.0717069736372843,https://openalex.org/W4365452341
101,0,2,0,5,0.3013392857142857,0.0005188988487400229,https://openalex.org/W4206643945
34,0,2,0,3,0.29475982532751094,0.00035006702103109285,https://openalex.org/W4311236699
74,0,2,0,5,0.25616698292220114,3.59757143744655e-05,https://openalex.org/W3110689777
103,0,2,0,40,0.4426229508196721,0.059528685910051664,https://openalex.org/W4383710507
104,0,2,0,24,0.43130990415335463,0.005741837861136436,https://openalex.org/W4309495336
1446,0,1,3,69,0.5212355212355212,0.1260321499367047,https://openalex.org/W1917627399
1470,0,1,3,69,0.5212355212355212,0.1260321499367047,https://openalex.org/W1917627399
1489,0,1,3,69,0.5212355212355212,0.1260321499367047,https://openalex.org/W1917627399
1501,0,3,1,67,0.4787234042553192,0.12475688714150682,https://openalex.org/W2894753606
1509,0,1,3,69,0.5212355212355212,0.1260321499367047,https://openalex.org/W1917627399
1536,0,1,3,69,0.5212355212355212,0.1260321499367047,https://openalex.org/W1917627399
1697,0,1,3,69,0.5212355212355212,0.1260321499367047,https://openalex.org/W1917627399
1808,0,1,3,69,0.5212355212355212,0.1260321499367047,https://openalex.org/W1917627399
1858,0,1,3,69,0.5212355212355212,0.1260321499367047,https://openalex.org/W1917627399
2069,0,1,3,69,0.5212355212355212,0.1260321499367047,https://openalex.org/W1917627399
2170,0,1,3,69,0.5212355212355212,0.1260321499367047,https://openalex.org/W1917627399
2258,0,1,3,69,0.5212355212355212,0.1260321499367047,https://openalex.org/W1917627399
2644,0,1,3,69,0.5212355212355212,0.1260321499367047,https://openalex.org/W1917627399
2667,0,3,1,67,0.4787234042553192,0.12475688714150682,https://openalex.org/W2894753606
2751,0,1,3,69,0.5212355212355212,0.1260321499367047,https://openalex.org/W1917627399
3596,0,2,0,25,0.4560810810810811,0.011549545848788324,https://openalex.org/W3193745980
36,0,1,3,69,0.5212355212355212,0.1260321499367047,https://openalex.org/W1917627399
3637,0,2,0,45,0.4891304347826087,0.04146027755206673,https://openalex.org/W2725011375
3660,0,2,0,25,0.4560810810810811,0.011549545848788324,https://openalex.org/W3193745980
38,0,2,0,12,0.36,0.0032790628579552855,https://openalex.org/W2067140869
41,0,2,0,21,0.43130990415335463,0.010031238167995938,https://openalex.org/W2211885666
58,0,3,1,67,0.4787234042553192,0.12475688714150682,https://openalex.org/W2894753606
72,0,2,0,45,0.4891304347826087,0.04146027755206673,https://openalex.org/W2725011375
76,0,2,0,25,0.4560810810810811,0.011549545848788324,https://openalex.org/W3193745980
832,0,1,3,69,0.5212355212355212,0.1260321499367047,https://openalex.org/W1917627399
