Name:,Address:,City:,Province,full_address_x,Location Type:,Region:,Contact Name:,Contact Email:,Contact Position:,Contact Address:,lat,lon
Annapolis Valley First Nation ,29 Toney Blvd ,Cambridge,NS,29 Toney Blvd  Cambridge NS,Office + Classroom ,Valley ,Diana MacLean ,diana@avfnschool.ca ,Executive Director ,29 Toney Blvd. RR #2 Cambridge NS B0P 1G0 ,45.06608524,-64.6528873
Adult Learning Association of Cape Breton County ,765 Main Street ,Sydney Mines,NS,765 Main Street  Sydney Mines NS,Classroom ,Cape Breton ,Karen Blair ,Karen@alacbc.ca ,Executive Director ,"440 George Street, Sydney, NS B1P 1K3  ",46.24209018,-60.22901247
Adult Learning Association of Cape Breton County ,"440 George St, Unit 330 ",Sydney,NS,"440 George St, Unit 330  Sydney NS",Office + Classroom ,Cape Breton ,Karen Blair ,Karen@alacbc.ca ,Executive Director ,"440 George Street, Sydney, NS B1P 1K3  ",46.137746,-60.192664
Adult Learning Association of Cape Breton County ,"219 Commercial Street, Unit H ",Glace Bay,NS,"219 Commercial Street, Unit H  Glace Bay NS",Classroom ,Cape Breton ,Karen Blair ,Karen@alacbc.ca ,Executive Director ,"440 George Street, Sydney, NS B1P 1K3  ",46.195618,-59.955753
Annapolis Valley First Nation ,29 Toney Blvd ,Cambridge,NS,29 Toney Blvd  Cambridge NS,Office + Classroom ,Valley ,Diana MacLean ,diana@avfnschool.ca ,Executive Director ,29 Toney Blvd. RR #2 Cambridge NS B0P 1G0 ,45.06608524,-64.6528873
Adult Learning Association of Cape Breton County ,487 Heelan Street ,New Waterford,NS,487 Heelan Street  New Waterford NS,Classroom ,Cape Breton ,Karen Blair ,Karen@alacbc.ca ,Executive Director ,"440 George Street, Sydney, NS B1P 1K3  ",46.249266,-60.09376484
Bedford Sackville Learning Network Society ,232 Cobequid Road ,Lower Sackville,NS,232 Cobequid Road  Lower Sackville NS,Classroom ,Metro ,John Mayich ,Director@bsln.ca ,Executive Director ,Sackville Sports Stadium 409 Glendale Drive Lower Sackville NS B4C 2T6 ,44.7606418,-63.6592756
Black Educators' Association ,105 Highfield Drive ,Dartmouth,NS,105 Highfield Drive  Dartmouth NS,Classroom ,Metro ,Conrad Grosse ,conrad.grosse@bea-ns.ca ,Coordinator ,2136 Gottingen Street Halifax NS B3K 3B3 ,44.6839481,-63.5886234
Bedford Sackville Learning Network Society ,409 Glendale Avenue ,Sackville,NS,409 Glendale Avenue  Sackville NS,Office ,Metro ,John Mayich ,Director@bsln.ca ,Executive Director ,Sackville Sports Stadium 409 Glendale Drive Lower Sackville NS B4C 2T6 ,44.7576852,-63.6494023
Black Educators' Association ,10 Cherry Brook Road ,Cherry Brook,NS,10 Cherry Brook Road  Cherry Brook NS,Classroom ,Metro ,Conrad Grosse ,conrad.grosse@bea-ns.ca ,Coordinator ,2136 Gottingen Street Halifax NS B3K 3B3 ,44.7091714,-63.4817113
Black Educators' Association ,405 Main St ,Yarmouth,NS,405 Main St  Yarmouth NS,Classroom ,Southwest ,Conrad Grosse ,conrad.grosse@bea-ns.ca ,Coordinator ,2136 Gottingen Street Halifax NS B3K 3B3 ,43.8386003,-66.1194444
Chapel Island First Nation ,12004 Highway 4 ,Chapel Island,NS,12004 Highway 4  Chapel Island NS,Classroom ,Cape Breton ,Donna Lameman  ,dlameman@potlotek.ca ,Education Director ,12004 Nova Scotia 4 PO Box 538 Chapel Island NS B0E 3B0 ,45.6832752,-60.7680394
Black Educators' Association ,2136 Gottingen Street (Primary location) ,Halifax,NS,2136 Gottingen Street (Primary location)  Halifax NS,Office ,Metro ,Conrad Grosse ,conrad.grosse@bea-ns.ca ,Coordinator ,2136 Gottingen Street Halifax NS B3K 3B3 ,44.652168,-63.583939
Colchester Adult Learning Association ,966 B Prince Street ,Truro,NS,966 B Prince Street  Truro NS,Office + Classroom ,Northern ,Mary Teed ,contactcala@gocala.ca ,Executive Director ,"966B Prince Street, Truro, B2N 1H8  ",45.3663375,-63.291882
Colchester Adult Learning Association ,170 Main Street ,Tatamagouche,NS,170 Main Street  Tatamagouche NS,Classroom ,Northern ,Mary Teed ,contactcala@gocala.ca ,Executive Director ,"966B Prince Street, Truro, B2N 1H8  ",45.71320266,-63.29528481
Colchester Adult Learning Association ,8 Great Village Lornevale Rd ,Great Village,NS,8 Great Village Lornevale Rd  Great Village NS,Classroom ,Northern ,Mary Teed ,contactcala@gocala.ca ,Executive Director ,"966B Prince Street, Truro, B2N 1H8  ",45.41697632,-63.60001531
Black Educators' Association ,18 Tobermory Road ,Dartmouth,NS,18 Tobermory Road  Dartmouth NS,Classroom ,Metro ,Conrad Grosse ,conrad.grosse@bea-ns.ca ,Coordinator ,2136 Gottingen Street Halifax NS B3K 3B3 ,44.69242705,-63.5342525
Dartmouth Learning Network Society ,802-73 Tacoma Dr ,Dartmouth,NS,802-73 Tacoma Dr  Dartmouth NS,Office + Classroom ,Metro ,Veronica McNeil ,Executivedirector@dartmouthlearning.net ,Executive Director ,802 - 73 Tacoma Dr. Dartmouth NS B2W 3Y6 ,44.6805661,-63.5365896
Dartmouth Work Activity Society ,15 Poseidon Crt ,Dartmouth,NS,15 Poseidon Crt  Dartmouth NS,Office ,Metro ,Ali Farr ,afarr@sollc.ca ,Executive Director ,15 Poseidon Court Dartmouth NS B2Y 4T9 ,44.6592511,-63.54555311
Dartmouth Work Activity Society ,149 Portland Street ,Dartmouth,NS,149 Portland Street  Dartmouth NS,Classroom ,Metro ,Ali Farr ,afarr@sollc.ca ,Executive Director ,15 Poseidon Court Dartmouth NS B2Y 4T9 ,44.6672183,-63.5650495
Halifax Community Learning Network ,"#214, 2099 Gottingen St.  ",Halifax,NS,"#214, 2099 Gottingen St.   Halifax NS",Office ,Metro ,Denise Morley ,director@hcln.ca ,Executive Director ,"2099 Gottingen Street, #214",44.651835,-63.583015
Halifax Community Learning Network ,5440 Spring Garden Rd (Central Library) ,Halifax,NS,5440 Spring Garden Rd   Halifax NS,Classroom ,Metro ,Denise Morley ,director@hcln.ca ,Executive Director ,"2099 Gottingen Street, #214",44.6428872,-63.57529994
HRDA Enterprises LTD ,LL05-7071 Bayers Rd ,Halifax,NS,LL05-7071 Bayers Rd  Halifax NS,Office + Classroom ,Metro ,Dave Rideout ,drideout@mymetroworks.ca ,CEO ,"LL05-7071 Bayers Rd Halifax NS, B3L 2C2 ",44.654122,-63.627346
Halifax Community Learning Network ,2285 Gottingen Street (Halifax North Memorial Library) ,Halifax,NS,2285 Gottingen Street  Halifax NS,Classroom ,Metro ,Denise Morley ,director@hcln.ca ,Executive Director ,"2099 Gottingen Street, #214",44.65416885,-63.58578682
Équipe D'Alphabétisation Nouvelle-Écosse ,"6960 Mumford Road, Suite 2140A (French: 6960, chemin Mumford, bureau 2140A) ",Halifax,NS,"6960 Mumford Road, Suite 2140A  Halifax NS",Classroom ,Valley ,Shirley Vigneault ,direction@eane.ca ,Executive director ,"CP 59, 1, rue Slocumb Tusket (N.-É.) B0W 3M0 ",44.644856,-63.619125
Mi'kmaw Native Friendship Society ,209-2021 Brunswick St (Educational Classroom Facility) ,Halifax,NS,209-2021 Brunswick St   Halifax NS,Office + Classroom ,Metro ,Tammy Williams ,tammy.williams@mymnfc.com ,Executive Director ,"2158 Gottingen Street Halifax, NS B3K 3B4 ",44.652099,-63.578937
Halifax Regional Centre for Education ,136 Pinecrest Dr ,Dartmouth,NS,136 Pinecrest Dr  Dartmouth NS,None,Metro ,Victoria Best ,None,Vice-Principal ,"136 Pinecrest Dr. Dartmouth, NS B3A 1J9 ",44.683707,-63.5879853
Nova Scotia Community College ,21 Woodlawn Rd ,Dartmouth,NS,21 Woodlawn Rd  Dartmouth NS,None,Metro ,None,None,None,None,44.6840183,-63.52625215
Colchester Adult Learning Association ,127 - 36 Arthur Street ,Truro,NS,127 - 36 Arthur Street  Truro NS,Classroom ,Northern ,Mary Teed ,contactcala@gocala.ca ,Executive Director ,"966B Prince Street, Truro, B2N 1H8  ",45.3611508,-63.2847968
