author_id,first_name,last_name,status,last_known_institution,google_scholar,orcid,openalex
2500,Lynne,Bowker,academic,University of Ottawa,"""https://scholar.google.ca/citations?user=0xM9E9AAAAAJ&hl=en""","""https://orcid.org/0000-0002-0848-1035""",https://openalex.org/A2019832854
1,Chantal,Beauregard,practitioner,Université Laval,NA,NA,NA
10,Catherine,Lamy,practitioner,Université Laval,NA,NA,NA
100,Mylène,Pinard,practitioner,McGill University,NA,NA,NA
1000,Enid M.,Mcfadden,practitioner,Western University,NA,NA,NA
1001,Christena,Mckillop,practitioner,Western University,NA,"""https://orcid.org/0000-0002-0340-257X"", ""https://orcid.org/0000-0002-0340-257X""",NA
1002,Sean,Mclaughlin,practitioner,Western University,NA,NA,NA
1003,Deborah,Meert-Wiliston,practitioner,Western University,NA,NA,NA
1004,Biserka,Mrzlijak,practitioner,Western University,NA,NA,NA
1005,Jerry,Mulcahy,practitioner,Western University,NA,NA,NA
1006,Eeva K.,Munoz,practitioner,Western University,NA,NA,NA
1007,Leanne,Olson,practitioner,Western University,NA,"""https://orcid.org/0000-0001-6989-6261""",NA
1008,Joanne,Paterson,practitioner,Western University,"""https://scholar.google.ca/citations?hl=en&user=30sBAYAAAAAJ""","""https://orcid.org/0000-0002-3998-1470""",NA
1009,Katya,Pereyaslavska,practitioner,Western University,NA,"""https://orcid.org/0000-0002-1381-1991""",NA
101,Lori,Podolsky,practitioner,McGill University,NA,NA,NA
1010,Lisa,Philpott,practitioner,Western University,"""https://scholar.google.ca/citations?hl=en&user=SURNWV4AAAAJ""",NA,NA
1011,Anne,Quirk,practitioner,Western University,NA,NA,NA
1012,Jennifer,Robinson,practitioner,Western University,NA,NA,NA
1013,Harriet,Rykse,practitioner,Western University,"""https://scholar.google.ca/citations?hl=en&user=N86mmH4AAAAJ""","""https://orcid.org/0000-0003-3442-578X""",NA
1014,John,Sadler,practitioner,Western University,NA,"""https://orcid.org/0000-0003-3166-1832""",NA
1015,Christy,Sich,practitioner,Western University,"""https://scholar.google.ca/citations?hl=en&user=TTpVBucAAAAJ""","""https://orcid.org/0000-0002-2515-0676""",NA
1016,Dan,Sich,practitioner,Western University,NA,"""https://orcid.org/0000-0003-0062-0050""",NA
1017,Laura,Smart,practitioner,Western University,"""https://scholar.google.ca/citations?hl=en&user=7i2M2i4AAAAJ""",NA,NA
1018,Stephen,Spong,practitioner,Western University,NA,NA,NA
