pub_id,doi,isbn,doc_type,authors,authors_clean,pub_year,title,source,volume,issue,pages,openalex_id,editor,location,edition,publisher,author_id
155,https://doi.org/10.1007/s40596-015-0419-5,,Article,Ademola B. Adeponle; Kurt Skakum; Carol Cooke; William Fleisher,,2016,The University of Manitoba Psychiatry Toolkit: Development and Evaluation,Academic Psychiatry,40,,04-Jan,https://openalex.org/W1848349924,,,,Springer Science+Business Media,1158
116,https://doi.org/10.1007/s10488-014-0537-5,,Article,Nguyen Xuan Thanh; Egon Jonsson; Jessica Moffatt; Liz Dennett; Anderson Chuck; Shelley Birchard,,2015,"An Economic Evaluation of the ParentñChild Assistance Program for Preventing Fetal Alcohol Spectrum Disorder in Alberta, Canada",Administration and Policy in Mental Health,,,,https://openalex.org/W2016607528,,,,Springer Science+Business Media,1448
597,https://doi.org/10.1097/01.ASW.0000305449.33693.2e,,Article,Yannie Aass; Heather McConnell; Laure Perrier; M. Gail Woodbury; R. Gary Sibbald,,2009,Process for Developing Evidence-Informed Practice Recommendations,Advances in Skin & Wound Care,22,3,133-140,https://openalex.org/W2326616586,,,,Lippincott Williams & Wilkins,449
1920,https://doi.org/10.7771/2380-176X.3487,,Article,Joanne Oud,,2013,Eliminating Duplication in A Shared Storage Facility: Practical and Political Issues,Against the Grain,13,3,23-Jan,https://openalex.org/W126984747,,,,,887
1921,https://doi.org/10.7771/2380-176X.7204,,Article,Trish Chatterley; Michael A. Arthur,,2015,Being Earnest With Collections--Rethinking Monograph Acquisitions in a Large Academic Library,Against the Grain,,,,https://openalex.org/W2793704394,,,,,1484
1922,https://doi.org/10.7771/2380-176X.8334,,Article,Denise Koufogiannakis,,2021,Embracing Automation for Monograph Acquisition,Against the Grain,31,2,,https://openalex.org/W2948523447,,,,,1499
579,https://doi.org/10.1093/ageing/afy219,,Article,Andrea C. Tricco; Sonia M. Thomas; Areti Angeliki Veroniki; Jemila S. Hamid; Elise Cogo; Lisa Strifler; Paul A. Khan; Kathryn M. Sibley; Reid Robson; Heather MacDonald; John J. Riva; Walter P. Wodchis; Charlotte Wilson; Jayna Holroyd-Leduc; Gillian D. Kerr; Fabio Feldman; Sumit R. Majumdar; Susan B. Jaglal; Wing Hui; Sharon E. Straus,,2019,Quality improvement strategies to prevent falls in older adults: a systematic review and network meta-analysis,Age and Ageing,48,3,337-346,https://openalex.org/W2912953662,,,,Oxford University Press,849
2207,https://doi.org/10.1177/095574900001200202,,Article,Helen Brazier; Victoria Owen,,2000,Library Provision for Visually Impaired in the UK and Canada: National Services and International Cooperation,Alexandria: The Journal of National and International Library and Information Issues,12,2,71-80,https://openalex.org/W2501844063,,,,SAGE Publishing,531
740,https://doi.org/10.1111/j.1365-2036.2008.03834.x,,Article,M. Wilkinson; V. Crawford; A. Tippet; F. Jolly; J. Turton; E. Sims; M. Hekker; J. Dalton; R. Marley; Graham R. Foster,,2009,Community-based treatment for chronic hepatitis C in drug users: high rates of compliance with therapy despite ongoing drug use,Alimentary Pharmacology & Therapeutics,29,1,29-37,https://openalex.org/W2126529103,,,,Wiley-Blackwell,923
981,https://doi.org/10.1186/s13223-022-00723-w,,Article,Michael A. Golding; Nicole Askin; Ayel Luis R. Batac; Kaitlyn A. Merrill; Elissa M. Abrams; Philippe BÈgin; Moshe Ben-Shoshan; Erika Ladouceur; Leslie E. Roos; Vladan Protudjer; Jennifer L.P. Protudjer,,2022,vACcine COnfidence amongst those living with alleRgy during the COVID pandemic (ACCORD): a scoping review protocol,"Allergy, Asthma & Clinical Immunology",18,1,06-Jan,https://openalex.org/W4296215990,,,,BioMed Central,1195
212,https://doi.org/10.1016/j.ambp.2007.12.005,,Article,Jeffrey A. Klassen; Yuanyuan Liang; Lisa Tjosvold; Terry P. Klassen; Lisa Hartling,,2008,Music for Pain and Anxiety in Children Undergoing Medical Procedures: A Systematic Review of Randomized Controlled Trials,Ambulatory Pediatrics,,,,https://openalex.org/W2052055852,,,,Elsevier BV,1479
